DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
813387,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813387.php,24.05.2019,Veranstaltungsreihe „Sommerkonzerte im Stadtpark Steglitz“ der Leo-Borchard-Musikschule vom 26.05. bis 16.06. und vom 10.08. bis 25.08.2019,Bezirksamt Steglitz-Zehlendorf,813387.html,813387.txt,832
813689,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.813689.php,23.05.2019,Einweihung des Beleuchtungskonzepts in der Friedhofskapelle Rahnsdorf,Bezirksamt Treptow-Köpenick,813689.html,813689.txt,846
814008,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.814008.php,23.05.2019,Baumfällungen in der 22. Kalenderwoche 2019,Bezirksamt Treptow-Köpenick,814008.html,814008.txt,887
814001,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.814001.php,23.05.2019,Paul-Gerhardt Wanderweg eröffnet - 140 Kilometer zu Fuß Berlin-Brandenburg erleben,Bezirksamt Treptow-Köpenick,814001.html,814001.txt,1071
814161,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2019/pressemitteilung.814161.php,23.05.2019,Schließung der Bürgerämter in Neu-Hohenschönhausen und Lichtenberg,Bezirksamt Lichtenberg,814161.html,814161.txt,696
814155,https://www.berlin.de/ba-lichtenberg/aktuelles/pressemitteilungen/2019/pressemitteilung.814155.php,23.05.2019,Rockhaus in Lichtenberg bleibt,Bezirksamt Lichtenberg,814155.html,814155.txt,738
813969,https://www.berlin.de/ba-friedrichshain-kreuzberg/aktuelles/pressemitteilungen/2019/pressemitteilung.813969.php,23.05.2019,FamilienServiceBüro am 31. Mai geschlossen,Bezirksamt Friedrichshain-Kreuzberg,813969.html,813969.txt,1281
813955,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813955.php,23.05.2019,Vollsperrung der Wuhletalbrücke (B 158 Märkische Allee) ab Juni,Bezirksamt Marzahn-Hellersdorf,813955.html,813955.txt,630
813948,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813948.php,23.05.2019,Baumaßnahme in der Köthener Straße zwischen Wuhletalstraße und Geraer Ring,Bezirksamt Marzahn-Hellersdorf,813948.html,813948.txt,620
813864,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813864.php,23.05.2019,Richtfest für fast 1.000 Wohnungen in Hellersdorf,Bezirksamt Marzahn-Hellersdorf,813864.html,813864.txt,656
813853,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.813853.php,23.05.2019,Fête de la Musique im historischen Rathaus Friedrichshagen,Bezirksamt Treptow-Köpenick,813853.html,813853.txt,926
813831,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813831.php,23.05.2019,Beschluss des Bezirksamtes zur Fortführung des vorhabenbezogenen Bebauungsplan 4-57 VE – sog. Cornelsenwiese,Bezirksamt Charlottenburg-Wilmersdorf,813831.html,813831.txt,1293
813829,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813829.php,23.05.2019,600 begeisterte Kids beim 4. Kita - Grand Prix Marzahn-Hellersdorf,Bezirksamt Marzahn-Hellersdorf,813829.html,813829.txt,806
813816,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813816.php,23.05.2019,„Raupenpartys“ in der Stadtbibliothek Charlottenburg-Wilmersdorf,Bezirksamt Charlottenburg-Wilmersdorf,813816.html,813816.txt,1119
